langtitel;kurztitel;veranstaltungsjahr;veranstaltungsmonat;startdatum;enddatum;stadt;land;messegelaende;turnus;branchenschwerpunkte;veranstaltername;messetyp;nettoflaeche;aussteller_gesamt;aussteller_inland;aussteller_ausland;besucher_gesamt;besucher_inland;besucher_ausland
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2026;1;28.01.2026;30.01.2026;Gandhinagar;Indien;Helipad Exhibition & Convention Center;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;;88;79;9;6174;6009;165
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2025;3;05.03.2025;07.03.2025;Gandhinagar;Indien;Helipad Exhibition & Convention Center;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;;117;104;13;2401;2278;123
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2024;3;06.03.2024;08.03.2024;Gandhinagar;Indien;Helipad Exhibition & Convention Center;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;8343;189;148;41;8221;8039;182
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2023;2;15.02.2023;17.02.2023;Gandhinagar;Indien;the exhibition centre near mahatma mandir;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;5648;156;110;46;7221;7059;162
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2022;4;06.04.2022;08.04.2022;Gandhinagar;Indien;the exhibition centre near mahatma mandir;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;;94;65;29;6437;6038;399
Indian Ceramics Asia - India's Annual Ceramic & Brick Materials, Machinery, Supplies & Technology Show;Indian Ceramics Asia;2020;3;03.03.2020;05.03.2020;Gandhinagar;Indien;the exhibition centre near mahatma mandir;jährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);Messe Muenchen India Pvt. Ltd.;Fachbesucher;;;;;;;
LASER World of PHOTONICS INDIA - India's Platform for Laser and Optical Technologies - Components, Systems and Applications;LASER World of PHOTONICS INDIA;2025;9;17.09.2025;19.09.2025;Bangalore;Indien;BIEC Bangalore International Exhibition Centre;jährlich an wechselnden Orten;Technische Optik, Lasertechnik (Branche 75);Messe Muenchen India Pvt. Ltd.;Fachbesucher;;124;86;38;6002;5906;96
LASER World of PHOTONICS INDIA - India's Platform for Laser and Optical Technologies - Components, Systems and Applications;LASER World of PHOTONICS INDIA;2024;11;07.11.2024;09.11.2024;Mumbai (Bombay);Indien;Jio World Convention Center;jährlich an wechselnden Orten;Technische Optik, Lasertechnik (Branche 75);Messe Muenchen India Pvt. Ltd.;Fachbesucher;3313;117;80;37;;;
LASER World of PHOTONICS INDIA - India's Platform for Laser and Optical Technologies - Components, Systems and Applications;LASER World of PHOTONICS INDIA;2023;9;13.09.2023;15.09.2023;Bangalore;Indien;BIEC Bangalore International Exhibition Centre;jährlich an wechselnden Orten;Technische Optik, Lasertechnik (Branche 75);Messe Muenchen India Pvt. Ltd.;Fachbesucher;2293;109;75;34;7061;7030;31
LASER World of PHOTONICS INDIA - India's Platform for Laser and Optical Technologies - Components, Systems and Applications;LASER World of PHOTONICS INDIA;2022;12;07.12.2022;09.12.2022;Mumbai (Bombay);Indien;noch offen/not yet determined;jährlich an wechselnden Orten;Technische Optik, Lasertechnik (Branche 75);Messe Muenchen India Pvt. Ltd.;Fachbesucher;1783;90;;;5796;;
